=== PING TEST TO 192.168.20.1 ===
Timestamp: 2026-01-07 13:37:29
Test duration: 50 packets

PING 192.168.20.1 (192.168.20.1) 56(84) bytes of data.
64 bytes from 192.168.20.1: icmp_seq=1 ttl=64 time=0.451 ms
64 bytes from 192.168.20.1: icmp_seq=2 ttl=64 time=0.415 ms
64 bytes from 192.168.20.1: icmp_seq=3 ttl=64 time=0.261 ms
64 bytes from 192.168.20.1: icmp_seq=4 ttl=64 time=0.199 ms
64 bytes from 192.168.20.1: icmp_seq=5 ttl=64 time=0.178 ms
64 bytes from 192.168.20.1: icmp_seq=6 ttl=64 time=0.187 ms
64 bytes from 192.168.20.1: icmp_seq=7 ttl=64 time=0.216 ms
64 bytes from 192.168.20.1: icmp_seq=8 ttl=64 time=0.413 ms
64 bytes from 192.168.20.1: icmp_seq=9 ttl=64 time=0.398 ms
64 bytes from 192.168.20.1: icmp_seq=10 ttl=64 time=0.395 ms
64 bytes from 192.168.20.1: icmp_seq=11 ttl=64 time=0.265 ms
64 bytes from 192.168.20.1: icmp_seq=12 ttl=64 time=0.296 ms
64 bytes from 192.168.20.1: icmp_seq=13 ttl=64 time=0.292 ms
64 bytes from 192.168.20.1: icmp_seq=14 ttl=64 time=0.373 ms
64 bytes from 192.168.20.1: icmp_seq=15 ttl=64 time=0.338 ms
64 bytes from 192.168.20.1: icmp_seq=16 ttl=64 time=0.357 ms
64 bytes from 192.168.20.1: icmp_seq=17 ttl=64 time=0.445 ms
64 bytes from 192.168.20.1: icmp_seq=18 ttl=64 time=0.360 ms
64 bytes from 192.168.20.1: icmp_seq=19 ttl=64 time=0.359 ms
64 bytes from 192.168.20.1: icmp_seq=20 ttl=64 time=0.403 ms
64 bytes from 192.168.20.1: icmp_seq=21 ttl=64 time=0.349 ms
64 bytes from 192.168.20.1: icmp_seq=22 ttl=64 time=0.290 ms
64 bytes from 192.168.20.1: icmp_seq=23 ttl=64 time=0.266 ms
64 bytes from 192.168.20.1: icmp_seq=24 ttl=64 time=0.357 ms
64 bytes from 192.168.20.1: icmp_seq=25 ttl=64 time=0.352 ms
64 bytes from 192.168.20.1: icmp_seq=26 ttl=64 time=0.322 ms
64 bytes from 192.168.20.1: icmp_seq=27 ttl=64 time=0.368 ms
64 bytes from 192.168.20.1: icmp_seq=28 ttl=64 time=0.348 ms
64 bytes from 192.168.20.1: icmp_seq=29 ttl=64 time=0.387 ms
64 bytes from 192.168.20.1: icmp_seq=30 ttl=64 time=0.397 ms
64 bytes from 192.168.20.1: icmp_seq=31 ttl=64 time=0.354 ms
64 bytes from 192.168.20.1: icmp_seq=32 ttl=64 time=0.316 ms
64 bytes from 192.168.20.1: icmp_seq=33 ttl=64 time=0.255 ms
64 bytes from 192.168.20.1: icmp_seq=34 ttl=64 time=0.356 ms
64 bytes from 192.168.20.1: icmp_seq=35 ttl=64 time=0.338 ms
64 bytes from 192.168.20.1: icmp_seq=36 ttl=64 time=0.385 ms
64 bytes from 192.168.20.1: icmp_seq=37 ttl=64 time=0.368 ms
64 bytes from 192.168.20.1: icmp_seq=38 ttl=64 time=0.301 ms
64 bytes from 192.168.20.1: icmp_seq=39 ttl=64 time=0.334 ms
64 bytes from 192.168.20.1: icmp_seq=40 ttl=64 time=0.424 ms
64 bytes from 192.168.20.1: icmp_seq=41 ttl=64 time=0.377 ms
64 bytes from 192.168.20.1: icmp_seq=42 ttl=64 time=0.246 ms
64 bytes from 192.168.20.1: icmp_seq=43 ttl=64 time=0.435 ms
64 bytes from 192.168.20.1: icmp_seq=44 ttl=64 time=0.302 ms
64 bytes from 192.168.20.1: icmp_seq=45 ttl=64 time=0.408 ms
64 bytes from 192.168.20.1: icmp_seq=46 ttl=64 time=0.383 ms
64 bytes from 192.168.20.1: icmp_seq=47 ttl=64 time=0.357 ms
64 bytes from 192.168.20.1: icmp_seq=48 ttl=64 time=0.364 ms
64 bytes from 192.168.20.1: icmp_seq=49 ttl=64 time=0.298 ms
64 bytes from 192.168.20.1: icmp_seq=50 ttl=64 time=0.409 ms

--- 192.168.20.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50112ms
rtt min/avg/max/mdev = 0.178/0.340/0.451/0.065 ms

=== END PING TEST ===

