=== PING TEST TO 192.168.20.1 ===
Timestamp: 2026-01-07 14:18:47
Test duration: 50 packets

PING 192.168.20.1 (192.168.20.1) 56(84) bytes of data.
64 bytes from 192.168.20.1: icmp_seq=1 ttl=64 time=0.183 ms
64 bytes from 192.168.20.1: icmp_seq=2 ttl=64 time=0.223 ms
64 bytes from 192.168.20.1: icmp_seq=3 ttl=64 time=0.229 ms
64 bytes from 192.168.20.1: icmp_seq=4 ttl=64 time=0.206 ms
64 bytes from 192.168.20.1: icmp_seq=5 ttl=64 time=0.421 ms
64 bytes from 192.168.20.1: icmp_seq=6 ttl=64 time=0.427 ms
64 bytes from 192.168.20.1: icmp_seq=7 ttl=64 time=0.200 ms
64 bytes from 192.168.20.1: icmp_seq=8 ttl=64 time=0.247 ms
64 bytes from 192.168.20.1: icmp_seq=9 ttl=64 time=0.256 ms
64 bytes from 192.168.20.1: icmp_seq=10 ttl=64 time=0.402 ms
64 bytes from 192.168.20.1: icmp_seq=11 ttl=64 time=0.348 ms
64 bytes from 192.168.20.1: icmp_seq=12 ttl=64 time=0.284 ms
64 bytes from 192.168.20.1: icmp_seq=13 ttl=64 time=0.380 ms
64 bytes from 192.168.20.1: icmp_seq=14 ttl=64 time=0.350 ms
64 bytes from 192.168.20.1: icmp_seq=15 ttl=64 time=0.396 ms
64 bytes from 192.168.20.1: icmp_seq=16 ttl=64 time=0.279 ms
64 bytes from 192.168.20.1: icmp_seq=17 ttl=64 time=0.352 ms
64 bytes from 192.168.20.1: icmp_seq=18 ttl=64 time=0.352 ms
64 bytes from 192.168.20.1: icmp_seq=19 ttl=64 time=0.328 ms
64 bytes from 192.168.20.1: icmp_seq=20 ttl=64 time=0.355 ms
64 bytes from 192.168.20.1: icmp_seq=21 ttl=64 time=0.387 ms
64 bytes from 192.168.20.1: icmp_seq=22 ttl=64 time=0.319 ms
64 bytes from 192.168.20.1: icmp_seq=23 ttl=64 time=0.449 ms
64 bytes from 192.168.20.1: icmp_seq=24 ttl=64 time=0.395 ms
64 bytes from 192.168.20.1: icmp_seq=25 ttl=64 time=0.344 ms
64 bytes from 192.168.20.1: icmp_seq=26 ttl=64 time=0.362 ms
64 bytes from 192.168.20.1: icmp_seq=27 ttl=64 time=0.311 ms
64 bytes from 192.168.20.1: icmp_seq=28 ttl=64 time=0.334 ms
64 bytes from 192.168.20.1: icmp_seq=29 ttl=64 time=0.264 ms
64 bytes from 192.168.20.1: icmp_seq=30 ttl=64 time=0.372 ms
64 bytes from 192.168.20.1: icmp_seq=31 ttl=64 time=0.358 ms
64 bytes from 192.168.20.1: icmp_seq=32 ttl=64 time=0.367 ms
64 bytes from 192.168.20.1: icmp_seq=33 ttl=64 time=0.286 ms
64 bytes from 192.168.20.1: icmp_seq=34 ttl=64 time=0.354 ms
64 bytes from 192.168.20.1: icmp_seq=35 ttl=64 time=0.339 ms
64 bytes from 192.168.20.1: icmp_seq=36 ttl=64 time=0.293 ms
64 bytes from 192.168.20.1: icmp_seq=37 ttl=64 time=0.280 ms
64 bytes from 192.168.20.1: icmp_seq=38 ttl=64 time=0.281 ms
64 bytes from 192.168.20.1: icmp_seq=39 ttl=64 time=0.440 ms
64 bytes from 192.168.20.1: icmp_seq=40 ttl=64 time=0.328 ms
64 bytes from 192.168.20.1: icmp_seq=41 ttl=64 time=0.346 ms
64 bytes from 192.168.20.1: icmp_seq=42 ttl=64 time=0.353 ms
64 bytes from 192.168.20.1: icmp_seq=43 ttl=64 time=0.352 ms
64 bytes from 192.168.20.1: icmp_seq=44 ttl=64 time=0.305 ms
64 bytes from 192.168.20.1: icmp_seq=45 ttl=64 time=0.295 ms
64 bytes from 192.168.20.1: icmp_seq=46 ttl=64 time=0.353 ms
64 bytes from 192.168.20.1: icmp_seq=47 ttl=64 time=0.271 ms
64 bytes from 192.168.20.1: icmp_seq=48 ttl=64 time=0.319 ms
64 bytes from 192.168.20.1: icmp_seq=49 ttl=64 time=0.385 ms
64 bytes from 192.168.20.1: icmp_seq=50 ttl=64 time=0.337 ms

--- 192.168.20.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50089ms
rtt min/avg/max/mdev = 0.183/0.327/0.449/0.061 ms

=== END PING TEST ===

