=== PING TEST TO 192.168.20.1 ===
Timestamp: 2026-01-07 16:13:10
Test duration: 50 packets

PING 192.168.20.1 (192.168.20.1) 56(84) bytes of data.
64 bytes from 192.168.20.1: icmp_seq=1 ttl=64 time=0.281 ms
64 bytes from 192.168.20.1: icmp_seq=2 ttl=64 time=0.414 ms
64 bytes from 192.168.20.1: icmp_seq=3 ttl=64 time=0.237 ms
64 bytes from 192.168.20.1: icmp_seq=4 ttl=64 time=0.212 ms
64 bytes from 192.168.20.1: icmp_seq=5 ttl=64 time=0.322 ms
64 bytes from 192.168.20.1: icmp_seq=6 ttl=64 time=0.356 ms
64 bytes from 192.168.20.1: icmp_seq=7 ttl=64 time=0.238 ms
64 bytes from 192.168.20.1: icmp_seq=8 ttl=64 time=0.364 ms
64 bytes from 192.168.20.1: icmp_seq=9 ttl=64 time=0.326 ms
64 bytes from 192.168.20.1: icmp_seq=10 ttl=64 time=0.311 ms
64 bytes from 192.168.20.1: icmp_seq=11 ttl=64 time=0.332 ms
64 bytes from 192.168.20.1: icmp_seq=12 ttl=64 time=0.278 ms
64 bytes from 192.168.20.1: icmp_seq=13 ttl=64 time=0.273 ms
64 bytes from 192.168.20.1: icmp_seq=14 ttl=64 time=0.280 ms
64 bytes from 192.168.20.1: icmp_seq=15 ttl=64 time=0.352 ms
64 bytes from 192.168.20.1: icmp_seq=16 ttl=64 time=0.280 ms
64 bytes from 192.168.20.1: icmp_seq=17 ttl=64 time=0.272 ms
64 bytes from 192.168.20.1: icmp_seq=18 ttl=64 time=0.280 ms
64 bytes from 192.168.20.1: icmp_seq=19 ttl=64 time=0.332 ms
64 bytes from 192.168.20.1: icmp_seq=20 ttl=64 time=0.378 ms
64 bytes from 192.168.20.1: icmp_seq=21 ttl=64 time=0.320 ms
64 bytes from 192.168.20.1: icmp_seq=22 ttl=64 time=0.251 ms
64 bytes from 192.168.20.1: icmp_seq=23 ttl=64 time=0.367 ms
64 bytes from 192.168.20.1: icmp_seq=24 ttl=64 time=0.362 ms
64 bytes from 192.168.20.1: icmp_seq=25 ttl=64 time=0.408 ms
64 bytes from 192.168.20.1: icmp_seq=26 ttl=64 time=0.294 ms
64 bytes from 192.168.20.1: icmp_seq=27 ttl=64 time=0.331 ms
64 bytes from 192.168.20.1: icmp_seq=28 ttl=64 time=0.313 ms
64 bytes from 192.168.20.1: icmp_seq=29 ttl=64 time=0.384 ms
64 bytes from 192.168.20.1: icmp_seq=30 ttl=64 time=0.414 ms
64 bytes from 192.168.20.1: icmp_seq=31 ttl=64 time=0.341 ms
64 bytes from 192.168.20.1: icmp_seq=32 ttl=64 time=0.288 ms
64 bytes from 192.168.20.1: icmp_seq=33 ttl=64 time=0.231 ms
64 bytes from 192.168.20.1: icmp_seq=34 ttl=64 time=0.330 ms
64 bytes from 192.168.20.1: icmp_seq=35 ttl=64 time=0.319 ms
64 bytes from 192.168.20.1: icmp_seq=36 ttl=64 time=0.325 ms
64 bytes from 192.168.20.1: icmp_seq=37 ttl=64 time=0.339 ms
64 bytes from 192.168.20.1: icmp_seq=38 ttl=64 time=0.316 ms
64 bytes from 192.168.20.1: icmp_seq=39 ttl=64 time=0.330 ms
64 bytes from 192.168.20.1: icmp_seq=40 ttl=64 time=0.432 ms
64 bytes from 192.168.20.1: icmp_seq=41 ttl=64 time=0.347 ms
64 bytes from 192.168.20.1: icmp_seq=42 ttl=64 time=0.366 ms
64 bytes from 192.168.20.1: icmp_seq=43 ttl=64 time=0.367 ms
64 bytes from 192.168.20.1: icmp_seq=44 ttl=64 time=0.356 ms
64 bytes from 192.168.20.1: icmp_seq=45 ttl=64 time=0.367 ms
64 bytes from 192.168.20.1: icmp_seq=46 ttl=64 time=0.404 ms
64 bytes from 192.168.20.1: icmp_seq=47 ttl=64 time=0.383 ms
64 bytes from 192.168.20.1: icmp_seq=48 ttl=64 time=0.308 ms
64 bytes from 192.168.20.1: icmp_seq=49 ttl=64 time=0.267 ms
64 bytes from 192.168.20.1: icmp_seq=50 ttl=64 time=0.251 ms

--- 192.168.20.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50158ms
rtt min/avg/max/mdev = 0.212/0.324/0.432/0.051 ms

=== END PING TEST ===

