=== PING TEST TO 192.168.20.1 ===
Timestamp: 2026-01-07 12:57:20
Test duration: 50 packets

PING 192.168.20.1 (192.168.20.1) 56(84) bytes of data.
64 bytes from 192.168.20.1: icmp_seq=1 ttl=64 time=0.756 ms
64 bytes from 192.168.20.1: icmp_seq=2 ttl=64 time=0.268 ms
64 bytes from 192.168.20.1: icmp_seq=3 ttl=64 time=0.303 ms
64 bytes from 192.168.20.1: icmp_seq=4 ttl=64 time=0.251 ms
64 bytes from 192.168.20.1: icmp_seq=5 ttl=64 time=0.325 ms
64 bytes from 192.168.20.1: icmp_seq=6 ttl=64 time=0.202 ms
64 bytes from 192.168.20.1: icmp_seq=7 ttl=64 time=0.492 ms
64 bytes from 192.168.20.1: icmp_seq=8 ttl=64 time=0.273 ms
64 bytes from 192.168.20.1: icmp_seq=9 ttl=64 time=0.388 ms
64 bytes from 192.168.20.1: icmp_seq=10 ttl=64 time=0.208 ms
64 bytes from 192.168.20.1: icmp_seq=11 ttl=64 time=0.391 ms
64 bytes from 192.168.20.1: icmp_seq=12 ttl=64 time=0.401 ms
64 bytes from 192.168.20.1: icmp_seq=13 ttl=64 time=0.279 ms
64 bytes from 192.168.20.1: icmp_seq=14 ttl=64 time=0.322 ms
64 bytes from 192.168.20.1: icmp_seq=15 ttl=64 time=0.265 ms
64 bytes from 192.168.20.1: icmp_seq=16 ttl=64 time=0.353 ms
64 bytes from 192.168.20.1: icmp_seq=17 ttl=64 time=0.290 ms
64 bytes from 192.168.20.1: icmp_seq=18 ttl=64 time=0.287 ms
64 bytes from 192.168.20.1: icmp_seq=19 ttl=64 time=0.312 ms
64 bytes from 192.168.20.1: icmp_seq=20 ttl=64 time=0.358 ms
64 bytes from 192.168.20.1: icmp_seq=21 ttl=64 time=0.291 ms
64 bytes from 192.168.20.1: icmp_seq=22 ttl=64 time=0.318 ms
64 bytes from 192.168.20.1: icmp_seq=23 ttl=64 time=0.288 ms
64 bytes from 192.168.20.1: icmp_seq=24 ttl=64 time=0.397 ms
64 bytes from 192.168.20.1: icmp_seq=25 ttl=64 time=0.298 ms
64 bytes from 192.168.20.1: icmp_seq=26 ttl=64 time=0.323 ms
64 bytes from 192.168.20.1: icmp_seq=27 ttl=64 time=0.351 ms
64 bytes from 192.168.20.1: icmp_seq=28 ttl=64 time=0.355 ms
64 bytes from 192.168.20.1: icmp_seq=29 ttl=64 time=0.422 ms
64 bytes from 192.168.20.1: icmp_seq=30 ttl=64 time=0.315 ms
64 bytes from 192.168.20.1: icmp_seq=31 ttl=64 time=0.396 ms
64 bytes from 192.168.20.1: icmp_seq=32 ttl=64 time=0.315 ms
64 bytes from 192.168.20.1: icmp_seq=33 ttl=64 time=0.344 ms
64 bytes from 192.168.20.1: icmp_seq=34 ttl=64 time=0.313 ms
64 bytes from 192.168.20.1: icmp_seq=35 ttl=64 time=0.318 ms
64 bytes from 192.168.20.1: icmp_seq=36 ttl=64 time=0.332 ms
64 bytes from 192.168.20.1: icmp_seq=37 ttl=64 time=0.340 ms
64 bytes from 192.168.20.1: icmp_seq=38 ttl=64 time=0.324 ms
64 bytes from 192.168.20.1: icmp_seq=39 ttl=64 time=0.282 ms
64 bytes from 192.168.20.1: icmp_seq=40 ttl=64 time=0.340 ms
64 bytes from 192.168.20.1: icmp_seq=41 ttl=64 time=0.325 ms
64 bytes from 192.168.20.1: icmp_seq=42 ttl=64 time=0.319 ms
64 bytes from 192.168.20.1: icmp_seq=43 ttl=64 time=0.331 ms
64 bytes from 192.168.20.1: icmp_seq=44 ttl=64 time=0.273 ms
64 bytes from 192.168.20.1: icmp_seq=45 ttl=64 time=0.347 ms
64 bytes from 192.168.20.1: icmp_seq=46 ttl=64 time=0.394 ms
64 bytes from 192.168.20.1: icmp_seq=47 ttl=64 time=0.268 ms
64 bytes from 192.168.20.1: icmp_seq=48 ttl=64 time=0.286 ms
64 bytes from 192.168.20.1: icmp_seq=49 ttl=64 time=0.353 ms
64 bytes from 192.168.20.1: icmp_seq=50 ttl=64 time=0.372 ms

--- 192.168.20.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50189ms
rtt min/avg/max/mdev = 0.202/0.333/0.756/0.079 ms

=== END PING TEST ===

