=== PING TEST TO 192.168.20.1 ===
Timestamp: 2026-01-07 15:45:45
Test duration: 50 packets

PING 192.168.20.1 (192.168.20.1) 56(84) bytes of data.
64 bytes from 192.168.20.1: icmp_seq=1 ttl=64 time=0.390 ms
64 bytes from 192.168.20.1: icmp_seq=2 ttl=64 time=0.292 ms
64 bytes from 192.168.20.1: icmp_seq=3 ttl=64 time=0.208 ms
64 bytes from 192.168.20.1: icmp_seq=4 ttl=64 time=0.394 ms
64 bytes from 192.168.20.1: icmp_seq=5 ttl=64 time=0.198 ms
64 bytes from 192.168.20.1: icmp_seq=6 ttl=64 time=0.206 ms
64 bytes from 192.168.20.1: icmp_seq=7 ttl=64 time=0.212 ms
64 bytes from 192.168.20.1: icmp_seq=8 ttl=64 time=0.263 ms
64 bytes from 192.168.20.1: icmp_seq=9 ttl=64 time=0.357 ms
64 bytes from 192.168.20.1: icmp_seq=10 ttl=64 time=0.417 ms
64 bytes from 192.168.20.1: icmp_seq=11 ttl=64 time=0.353 ms
64 bytes from 192.168.20.1: icmp_seq=12 ttl=64 time=0.412 ms
64 bytes from 192.168.20.1: icmp_seq=13 ttl=64 time=0.258 ms
64 bytes from 192.168.20.1: icmp_seq=14 ttl=64 time=0.401 ms
64 bytes from 192.168.20.1: icmp_seq=15 ttl=64 time=0.387 ms
64 bytes from 192.168.20.1: icmp_seq=16 ttl=64 time=0.305 ms
64 bytes from 192.168.20.1: icmp_seq=17 ttl=64 time=0.342 ms
64 bytes from 192.168.20.1: icmp_seq=18 ttl=64 time=0.327 ms
64 bytes from 192.168.20.1: icmp_seq=19 ttl=64 time=0.333 ms
64 bytes from 192.168.20.1: icmp_seq=20 ttl=64 time=0.301 ms
64 bytes from 192.168.20.1: icmp_seq=21 ttl=64 time=0.307 ms
64 bytes from 192.168.20.1: icmp_seq=22 ttl=64 time=0.336 ms
64 bytes from 192.168.20.1: icmp_seq=23 ttl=64 time=0.353 ms
64 bytes from 192.168.20.1: icmp_seq=24 ttl=64 time=0.391 ms
64 bytes from 192.168.20.1: icmp_seq=25 ttl=64 time=0.402 ms
64 bytes from 192.168.20.1: icmp_seq=26 ttl=64 time=0.339 ms
64 bytes from 192.168.20.1: icmp_seq=27 ttl=64 time=0.364 ms
64 bytes from 192.168.20.1: icmp_seq=28 ttl=64 time=0.352 ms
64 bytes from 192.168.20.1: icmp_seq=29 ttl=64 time=0.283 ms
64 bytes from 192.168.20.1: icmp_seq=30 ttl=64 time=0.289 ms
64 bytes from 192.168.20.1: icmp_seq=31 ttl=64 time=0.380 ms
64 bytes from 192.168.20.1: icmp_seq=32 ttl=64 time=0.362 ms
64 bytes from 192.168.20.1: icmp_seq=33 ttl=64 time=0.356 ms
64 bytes from 192.168.20.1: icmp_seq=34 ttl=64 time=0.312 ms
64 bytes from 192.168.20.1: icmp_seq=35 ttl=64 time=0.391 ms
64 bytes from 192.168.20.1: icmp_seq=36 ttl=64 time=0.398 ms
64 bytes from 192.168.20.1: icmp_seq=37 ttl=64 time=0.205 ms
64 bytes from 192.168.20.1: icmp_seq=38 ttl=64 time=0.231 ms
64 bytes from 192.168.20.1: icmp_seq=39 ttl=64 time=0.242 ms
64 bytes from 192.168.20.1: icmp_seq=40 ttl=64 time=0.370 ms
64 bytes from 192.168.20.1: icmp_seq=41 ttl=64 time=0.313 ms
64 bytes from 192.168.20.1: icmp_seq=42 ttl=64 time=0.276 ms
64 bytes from 192.168.20.1: icmp_seq=43 ttl=64 time=0.279 ms
64 bytes from 192.168.20.1: icmp_seq=44 ttl=64 time=0.310 ms
64 bytes from 192.168.20.1: icmp_seq=45 ttl=64 time=0.393 ms
64 bytes from 192.168.20.1: icmp_seq=46 ttl=64 time=0.266 ms
64 bytes from 192.168.20.1: icmp_seq=47 ttl=64 time=0.283 ms
64 bytes from 192.168.20.1: icmp_seq=48 ttl=64 time=0.358 ms
64 bytes from 192.168.20.1: icmp_seq=49 ttl=64 time=0.348 ms
64 bytes from 192.168.20.1: icmp_seq=50 ttl=64 time=0.334 ms

--- 192.168.20.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50122ms
rtt min/avg/max/mdev = 0.198/0.323/0.417/0.060 ms

=== END PING TEST ===

