=== PING TEST TO 192.168.20.1 ===
Timestamp: 2026-01-07 15:13:14
Test duration: 50 packets

PING 192.168.20.1 (192.168.20.1) 56(84) bytes of data.
64 bytes from 192.168.20.1: icmp_seq=1 ttl=64 time=0.797 ms
64 bytes from 192.168.20.1: icmp_seq=2 ttl=64 time=0.408 ms
64 bytes from 192.168.20.1: icmp_seq=3 ttl=64 time=0.476 ms
64 bytes from 192.168.20.1: icmp_seq=4 ttl=64 time=0.270 ms
64 bytes from 192.168.20.1: icmp_seq=5 ttl=64 time=0.257 ms
64 bytes from 192.168.20.1: icmp_seq=6 ttl=64 time=0.202 ms
64 bytes from 192.168.20.1: icmp_seq=7 ttl=64 time=0.177 ms
64 bytes from 192.168.20.1: icmp_seq=8 ttl=64 time=0.209 ms
64 bytes from 192.168.20.1: icmp_seq=9 ttl=64 time=0.274 ms
64 bytes from 192.168.20.1: icmp_seq=10 ttl=64 time=0.201 ms
64 bytes from 192.168.20.1: icmp_seq=11 ttl=64 time=0.262 ms
64 bytes from 192.168.20.1: icmp_seq=12 ttl=64 time=0.284 ms
64 bytes from 192.168.20.1: icmp_seq=13 ttl=64 time=0.312 ms
64 bytes from 192.168.20.1: icmp_seq=14 ttl=64 time=0.363 ms
64 bytes from 192.168.20.1: icmp_seq=15 ttl=64 time=0.236 ms
64 bytes from 192.168.20.1: icmp_seq=16 ttl=64 time=0.440 ms
64 bytes from 192.168.20.1: icmp_seq=17 ttl=64 time=0.287 ms
64 bytes from 192.168.20.1: icmp_seq=18 ttl=64 time=0.276 ms
64 bytes from 192.168.20.1: icmp_seq=19 ttl=64 time=0.254 ms
64 bytes from 192.168.20.1: icmp_seq=20 ttl=64 time=0.354 ms
64 bytes from 192.168.20.1: icmp_seq=21 ttl=64 time=0.407 ms
64 bytes from 192.168.20.1: icmp_seq=22 ttl=64 time=0.332 ms
64 bytes from 192.168.20.1: icmp_seq=23 ttl=64 time=0.361 ms
64 bytes from 192.168.20.1: icmp_seq=24 ttl=64 time=0.331 ms
64 bytes from 192.168.20.1: icmp_seq=25 ttl=64 time=0.281 ms
64 bytes from 192.168.20.1: icmp_seq=26 ttl=64 time=0.371 ms
64 bytes from 192.168.20.1: icmp_seq=27 ttl=64 time=0.359 ms
64 bytes from 192.168.20.1: icmp_seq=28 ttl=64 time=0.347 ms
64 bytes from 192.168.20.1: icmp_seq=29 ttl=64 time=0.345 ms
64 bytes from 192.168.20.1: icmp_seq=30 ttl=64 time=0.370 ms
64 bytes from 192.168.20.1: icmp_seq=31 ttl=64 time=0.335 ms
64 bytes from 192.168.20.1: icmp_seq=32 ttl=64 time=0.372 ms
64 bytes from 192.168.20.1: icmp_seq=33 ttl=64 time=0.308 ms
64 bytes from 192.168.20.1: icmp_seq=34 ttl=64 time=0.361 ms
64 bytes from 192.168.20.1: icmp_seq=35 ttl=64 time=0.423 ms
64 bytes from 192.168.20.1: icmp_seq=36 ttl=64 time=0.355 ms
64 bytes from 192.168.20.1: icmp_seq=37 ttl=64 time=0.358 ms
64 bytes from 192.168.20.1: icmp_seq=38 ttl=64 time=0.366 ms
64 bytes from 192.168.20.1: icmp_seq=39 ttl=64 time=0.372 ms
64 bytes from 192.168.20.1: icmp_seq=40 ttl=64 time=0.354 ms
64 bytes from 192.168.20.1: icmp_seq=41 ttl=64 time=0.284 ms
64 bytes from 192.168.20.1: icmp_seq=42 ttl=64 time=0.369 ms
64 bytes from 192.168.20.1: icmp_seq=43 ttl=64 time=0.362 ms
64 bytes from 192.168.20.1: icmp_seq=44 ttl=64 time=0.342 ms
64 bytes from 192.168.20.1: icmp_seq=45 ttl=64 time=0.317 ms
64 bytes from 192.168.20.1: icmp_seq=46 ttl=64 time=0.403 ms
64 bytes from 192.168.20.1: icmp_seq=47 ttl=64 time=0.369 ms
64 bytes from 192.168.20.1: icmp_seq=48 ttl=64 time=0.309 ms
64 bytes from 192.168.20.1: icmp_seq=49 ttl=64 time=0.297 ms
64 bytes from 192.168.20.1: icmp_seq=50 ttl=64 time=0.347 ms

--- 192.168.20.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50104ms
rtt min/avg/max/mdev = 0.177/0.336/0.797/0.090 ms

=== END PING TEST ===

